"ID_cinema","Adresse","Ville"
"1","1 Rue du Trocadéro","Paris"
"2","5 Avenue du Sacré Coeur","Bordeaux"
"3","10 Avenue de Notre Dame","Toulon"
"ID_film","Titre","Genre","Année","Réalisateur"
"1000","Le Seigneur des Anneaux 1","Fantasy","2001","Jackson"
"2000","Star Wars III","Science-Fiction","2005","Lucas"
"3000","Jurassic Park","Science-Fiction","1993","Spielberg"
"4000","Le Monde de Narnia","Fantasy","2005","Adamson"
"5000","Gladiator","Drame","2000","Scott"
"6000","Interstellar","Drame","2014","Nolan"
"7000","Forest Gump","Comédie dramatique","1994","Zemeckis"
"8000","Inception","Science-Fiction","2010","Nolan"
"9000","Avengers: Endgame","Super-Héros","2019","Anthony"
"10000","The Batman","Super-héros","2022","Reeves"
"ID_salle","ID_cinema","Adresse","No_salle","Capacité"
"11","1","1 Rue du Trocadéro","4","20"
"22","1","1 Rue du Trocadéro","5","40"
"33","1","1 Rue du Trocadéro","6","60"
"44","1","1 Rue du Trocadéro","7","80"
"55","2","5 Avenue du Sacré Coeur","4","20"
"66","2","5 Avenue du Sacré Coeur","5","40"
"77","2","5 Avenue du Sacré Coeur","6","60"
"88","2","5 Avenue du Sacré Coeur","7","80"
"99","3","10 Avenue de Notre Dame","4","20"
"111","3","10 Avenue de Notre Dame","5","40"
"112","3","10 Avenue de Notre Dame","6","60"
"113","3","10 Avenue de Notre Dame","7","80"
"ID_film","ID_cinema","ID_salle","Adresse","Capacité","No_places","No_salle","No_séance","Heure_debut","Heure_fin"
"1000","1","11","1 Rue du Trocadéro","20","1","4","1","9.00","12.00"
"2000","1","22","1 Rue du Trocadéro","40","1","5","2","9.00","11.00"
"3000","1","33","1 Rue du Trocadéro","60","1","6","3","9.00","11.00"
"4000","1","44","1 Rue du Trocadéro","80","1","7","4","9.00","11.00"
"5000","1","11","1 Rue du Trocadéro","20","1","4","5","13.00","16.00"
"6000","1","22","1 Rue du Trocadéro","40","1","5","6","12.00","15.30"
"7000","1","33","1 Rue du Trocadéro","60","1","6","7","11.00","13.00"
"8000","1","44","1 Rue du Trocadéro","80","1","7","8","11.00","14.00"
"9000","1","11","1 Rue du Trocadéro","20","1","4","9","17.00","20.00"
"10000","1","22","1 Rue du Trocadéro","40","1","5","10","16.00","19.00"
"1000","2","11","5 Avenue du Sacré Coeur","20","1","4","21","9.00","12.00"
"2000","2","22","5 Avenue du Sacré Coeur","40","1","5","22","9.00","11.00"
"3000","2","33","5 Avenue du Sacré Coeur","60","1","6","23","9.00","11.00"
"4000","2","44","5 Avenue du Sacré Coeur","80","1","7","24","9.00","11.00"
"5000","2","11","5 Avenue du Sacré Coeur","20","1","4","25","13.00","16.00"
"6000","2","22","5 Avenue du Sacré Coeur","40","1","5","26","12.00","15.30"
"7000","2","33","5 Avenue du Sacré Coeur","60","1","6","27","11.00","13.00"
"8000","2","44","5 Avenue du Sacré Coeur","80","1","7","28","11.00","14.00"
"9000","2","11","5 Avenue du Sacré Coeur","20","1","4","29","17.00","20.00"
"10000","2","22","5 Avenue du Sacré Coeur","40","1","5","30","16.00","19.00"
"1000","3","11","10 Avenue de Notre Dame","20","1","4","31","9.00","12.00"
"2000","3","22","10 Avenue de Notre Dame","40","1","5","32","9.00","11.00"
"3000","3","33","10 Avenue de Notre Dame","60","1","6","33","9.00","11.00"
"4000","3","44","10 Avenue de Notre Dame","80","1","7","34","9.00","11.00"
"5000","3","11","10 Avenue de Notre Dame","20","1","4","35","13.00","16.00"
"6000","3","22","10 Avenue de Notre Dame","40","1","5","36","12.00","15.30"
"7000","3","33","10 Avenue de Notre Dame","60","1","6","37","11.00","13.00"
"8000","3","44","10 Avenue de Notre Dame","80","1","7","38","11.00","14.00"
"9000","3","11","10 Avenue de Notre Dame","20","1","4","39","17.00","20.00"
"10000","3","22","10 Avenue de Notre Dame","40","1","5","40","16.00","19.00"
"ID","Utilisateur","Mot_de_passe","Nom","Prénom","Age","Email","Téléphone"
